MIB Module,Object Name,OID,Kind,Syntax,Access,Description
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DayUAS,1.3.6.1.2.1.10.48.1.5.1.20,column,Hdsl2ShdslPerfCurrDayCount,read-only,Count of Unavailable Seconds (UAS) during the current day as measured by hdsl2ShdslEndpointCurr1DayTimeElapsed.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurrTipRingReversal,1.3.6.1.2.1.10.48.1.5.1.21,column,"INTEGER { normal(1), reversed(2) }",read-only,This object indicates the state of the tip/ring for the wire pair.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurrActivationState,1.3.6.1.2.1.10.48.1.5.1.22,column,"INTEGER { preActivation(1), -- PreTrain activation(2), -- Training data(3) -- Tr",read-only,This object indicates the activation or training state of the wire pair.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalNumber,1.3.6.1.2.1.10.48.1.6.1.1,column,Unsigned32(1..96),not-accessible,Performance Data Interval number. Interval 1 is the most recent previous interval; interval 96 is 24 hours ago. Intervals 2..96 are optional.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalES,1.3.6.1.2.1.10.48.1.6.1.2,column,PerfIntervalCount,read-only,Count of Errored Seconds (ES) during the interval.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalSES,1.3.6.1.2.1.10.48.1.6.1.3,column,PerfIntervalCount,read-only,Count of Severely Errored Seconds (SES) during the interval.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalCRCanomalies,1.3.6.1.2.1.10.48.1.6.1.4,column,PerfIntervalCount,read-only,Count of CRC anomalies during the interval.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalLOSWS,1.3.6.1.2.1.10.48.1.6.1.5,column,PerfIntervalCount,read-only,Count of Loss of Sync Word (LOSW) Seconds during the interval.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl15MinIntervalUAS,1.3.6.1.2.1.10.48.1.6.1.6,column,PerfIntervalCount,read-only,Count of Unavailable Seconds (UAS) during the interval.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalNumber,1.3.6.1.2.1.10.48.1.7.1.1,column,Unsigned32(1..30),not-accessible,History Data Interval number. Interval 1 is the most recent previous day; interval 30 is 30 days ago. Intervals 2..30 are optional.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalMoniSecs,1.3.6.1.2.1.10.48.1.7.1.2,column,Hdsl2ShdslPerfTimeElapsed,read-only,The amount of time in the 1-day interval over which the performance monitoring information is actually counted. This value will be the same as the int
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalES,1.3.6.1.2.1.10.48.1.7.1.3,column,Hdsl2Shdsl1DayIntervalCount,read-only,Count of Errored Seconds (ES) during the 1-day interval as measured by hdsl2Shdsl1DayIntervalMoniSecs.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalSES,1.3.6.1.2.1.10.48.1.7.1.4,column,Hdsl2Shdsl1DayIntervalCount,read-only,Count of Severely Errored Seconds (SES) during the 1-day interval as measured by hdsl2Shdsl1DayIntervalMoniSecs.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalCRCanomalies,1.3.6.1.2.1.10.48.1.7.1.5,column,Hdsl2Shdsl1DayIntervalCount,read-only,Count of CRC anomalies during the 1-day interval as measured by hdsl2Shdsl1DayIntervalMoniSecs.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalLOSWS,1.3.6.1.2.1.10.48.1.7.1.6,column,Hdsl2Shdsl1DayIntervalCount,read-only,Count of Loss of Sync Word (LOSW) Seconds during the 1-day interval as measured by hdsl2Shdsl1DayIntervalMoniSecs.
HDSL2-SHDSL-LINE-MIB,hdsl2Shdsl1DayIntervalUAS,1.3.6.1.2.1.10.48.1.7.1.7,column,Hdsl2Shdsl1DayIntervalCount,read-only,Count of Unavailable Seconds (UAS) during the 1-day interval as measured by hdsl2Shdsl1DayIntervalMoniSecs.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintLoopbackConfig,1.3.6.1.2.1.10.48.1.8.1.1,column,"INTEGER { noLoopback(1), normalLoopback(2), specialLoopback(3) }",read-write,This object controls configuration of loopbacks for the associated segment endpoint. The status of the loopback is obtained via the hdsl2ShdslEndpoint
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintTipRingReversal,1.3.6.1.2.1.10.48.1.8.1.2,column,"INTEGER { normal(1), reversed(2) }",read-only,This object indicates the state of the tip/ring pair at the associated segment endpoint.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintPowerBackOff,1.3.6.1.2.1.10.48.1.8.1.3,column,"INTEGER { default(1), enhanced(2) }",read-write,This object configures the receiver at the associated segment endpoint to operate in default or enhanced power backoff mode.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintSoftRestart,1.3.6.1.2.1.10.48.1.8.1.4,column,"INTEGER { ready(1), restart(2) }",read-write,This object enables the manager to trigger a soft restart of the modem at the associated segment endpoint. The manager may only set this object to the
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintLoopbackTimeout,1.3.6.1.2.1.10.48.1.9.1.1,column,Integer32(0..4095),read-write,This object configures the timeout value for loopbacks initiated at segments endpoints contained in the associated unit. A value of 0 disables the tim
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslMaintUnitPowerSource,1.3.6.1.2.1.10.48.1.9.1.2,column,"INTEGER { local(1), span(2) }",read-only,This object indicates the DC power source being used by the associated unit.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfProfileName,1.3.6.1.2.1.10.48.1.10.1.1,column,SnmpAdminString (SIZE(1..32)),not-accessible,This object is the unique index associated with this profile. Entries in this table are referenced via the object hdsl2ShdslSpanConfProfile in Hdsl2Sh
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfWireInterface,1.3.6.1.2.1.10.48.1.10.1.2,column,"INTEGER { twoWire(1), fourWire(2), sixWire(3), eightWire(4) }",read-create,"This object configures the two-wire or optional four-wire, six-wire, or eight-wire operation for SHDSL lines."
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfMinLineRate,1.3.6.1.2.1.10.48.1.10.1.3,column,Unsigned32(0..4294967295),read-create,This object configures the minimum transmission rate for the associated SHDSL Line in bits-per-second (bps) and includes both payload (user data) and 
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfMaxLineRate,1.3.6.1.2.1.10.48.1.10.1.4,column,Unsigned32(0..4294967295),read-create,This object configures the maximum transmission rate for the associated SHDSL Line in bits-per-second (bps) and includes both payload (user data) and 
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfPSD,1.3.6.1.2.1.10.48.1.10.1.5,column,"INTEGER { symmetric(1), asymmetric(2) }",read-create,This object configures use of symmetric/asymmetric PSD (Power Spectral Density) Mask for the associated SHDSL Line. Support for symmetric PSD is manda
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfTransmissionMode,1.3.6.1.2.1.10.48.1.10.1.6,column,Hdsl2ShdslTransmissionModeType,read-create,This object specifies the regional setting for the SHDSL line.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfRemoteEnabled,1.3.6.1.2.1.10.48.1.10.1.7,column,"INTEGER { enabled(1), disabled(2) }",read-create,This object enables/disables support for remote management of the units in an SHDSL line from the STU-R via the EOC.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfPowerFeeding,1.3.6.1.2.1.10.48.1.10.1.8,column,"INTEGER { noPower(1), powerFeed(2), wettingCurrent(3) }",read-create,This object enables/disables support for optional power feeding in an SHDSL line.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfCurrCondTargetMarginDown,1.3.6.1.2.1.10.48.1.10.1.9,column,Integer32(-10..21),read-create,This object specifies the downstream current condition target SNR margin for an SHDSL line. The SNR margin is the difference between the desired SNR a
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfWorstCaseTargetMarginDown,1.3.6.1.2.1.10.48.1.10.1.10,column,Integer32(-10..21),read-create,This object specifies the downstream worst-case target SNR margin for an SHDSL line. The SNR margin is the difference between the desired SNR and the 
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfCurrCondTargetMarginUp,1.3.6.1.2.1.10.48.1.10.1.11,column,Integer32(-10..21),read-create,This object specifies the upstream current-condition target SNR margin for an SHDSL line. The SNR margin is the difference between the desired SNR and
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslSpanConfWorstCaseTargetMarginUp,1.3.6.1.2.1.10.48.1.10.1.12,column,Integer32(-10..21),read-create,This object specifies the upstream worst-case target SNR margin for an SHDSL line. The SNR margin is the difference between the desired SNR and the ac
