MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayFL,1.3.6.1.4.1.5468.4.1.5.1.1.11,column,Counter32,read-only,Frame Loss measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayFLR,1.3.6.1.4.1.5468.4.1.5.1.1.12,column,Unsigned32,read-only,"Frame Loss Ratio measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayFENDIntervalValidity,1.3.6.1.4.1.5468.4.1.5.1.1.13,column,IntervalValidity,read-only,"Current 1 Day interval validity for Far-End counters. Available for FL/FLR counted by SLM/SLR method. Valid values: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. "
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayFLFEND,1.3.6.1.4.1.5468.4.1.5.1.1.14,column,Counter32,read-only,Far-End Frame Loss measurement provided in frames. Available for FL/FLR counted by SLM/SLR method.
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayFLRFEND,1.3.6.1.4.1.5468.4.1.5.1.1.15,column,Unsigned32,read-only,"Far-End Frame Loss Ratio,available for FL/FLR counted by SLM/SLR method. Measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayFENDIntervalValidity,1.3.6.1.4.1.5468.4.1.5.1.1.16,column,IntervalValidity,read-only,"Previous 1 Day interval validity for Far-End counters. Interval validity valid values are: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulate"
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayFLFEND,1.3.6.1.4.1.5468.4.1.5.1.1.17,column,Counter32,read-only,Far-End Frame Loss measurement provided in frames. Available for FL/FLR counted by SLM/SLR method.
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayFLRFEND,1.3.6.1.4.1.5468.4.1.5.1.1.18,column,Unsigned32,read-only,"Far-EndFrame Loss Ratio,available for FL/FLR counted by SLM/SLR method. Measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELAN15MinRmepIndex,1.3.6.1.4.1.5468.4.1.5.2.1.1,column,,not-accessible,Index of RMEP.
ACTELIS-SERV-MON-MIB,flFlrELAN15MinMEPID,1.3.6.1.4.1.5468.4.1.5.2.1.2,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
ACTELIS-SERV-MON-MIB,flFlrELAN15MinPortID,1.3.6.1.4.1.5468.4.1.5.2.1.3,column,InterfaceIndex,read-only,An unique value of port interface on which MEP is reported. It is an index from IfTable for ETH-x or HSL-x ports. Multiple MEPs may be applied on the same port.
ACTELIS-SERV-MON-MIB,flFlrELAN15MinRmepIDX,1.3.6.1.4.1.5468.4.1.5.2.1.4,column,Unsigned32,read-only,This index uniquely (relatively to the MEP) identifies the Remote Peer. RMEP index is provided for the RMEP configured with FD or FL MONITOR=Y.
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minIntervalStart,1.3.6.1.4.1.5468.4.1.5.2.1.5,column,DateAndTime,read-only,This attribute specifies timestampt of current interval start for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minIntervalValidity,1.3.6.1.4.1.5468.4.1.5.2.1.6,column,IntervalValidity,read-only,"Interval validity other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minFL,1.3.6.1.4.1.5468.4.1.5.2.1.7,column,Counter32,read-only,Frame Loss measurement provided in frames. All is counted starting from current (15-min) interval.
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minFLR,1.3.6.1.4.1.5468.4.1.5.2.1.8,column,Unsigned32,read-only,"Frame Loss Ratio measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. All is counted starting from current (15-min) interval."
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minIntervalStop,1.3.6.1.4.1.5468.4.1.5.2.1.9,column,DateAndTime,read-only,This attribute specifies timestamp of history interval stop for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minIntervalValidity,1.3.6.1.4.1.5468.4.1.5.2.1.10,column,IntervalValidity,read-only,"Interval validity valid values are: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minFL,1.3.6.1.4.1.5468.4.1.5.2.1.11,column,Counter32,read-only,Frame Loss measurement provided in frames. Counted for 15-min previous interval.
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minFLR,1.3.6.1.4.1.5468.4.1.5.2.1.12,column,Unsigned32,read-only,"Frame Loss Ratio measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. Counted for 15-min previous interval."
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minFENDIntervalValidity,1.3.6.1.4.1.5468.4.1.5.2.1.13,column,IntervalValidity,read-only,"Far-end counters Interval validity, available for FL/FLR counted by SLM/SLR method. Valid values: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is acc"
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minFLFEND,1.3.6.1.4.1.5468.4.1.5.2.1.14,column,Counter32,read-only,"Far-End Frame Loss measurement provided in frames, available for FL/FLR counted by SLM/SLR method. All is counted starting from current (15-min) interval."
ACTELIS-SERV-MON-MIB,flFlrELANCurr15minFLRFEND,1.3.6.1.4.1.5468.4.1.5.2.1.15,column,Unsigned32,read-only,"Far-EndFrame Loss Ratio , available for FL/FLR counted by SLM/SLR method. Measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. All is counted starting from current (15-min) interval."
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minFENDIntervalValidity,1.3.6.1.4.1.5468.4.1.5.2.1.16,column,IntervalValidity,read-only,"Far-end counters Interval validity, available for FL/FLR counted by SLM/SLR method. Valid values: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is acc"
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minFLFEND,1.3.6.1.4.1.5468.4.1.5.2.1.17,column,Counter32,read-only,"Far-End Frame Loss measurement provided in frames, available for FL/FLR counted by SLM/SLR method. Counted for 15-min previous interval."
ACTELIS-SERV-MON-MIB,flFlrELANPrev15minFLRFEND,1.3.6.1.4.1.5468.4.1.5.2.1.18,column,Unsigned32,read-only,"Far-End Frame Loss Ratio, available for FL/FLR counted by SLM/SLR method. Measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. Counted for 15-min previous interval."
ACTELIS-SERV-MON-MIB,fdFdvELAN1DayRmepIndex,1.3.6.1.4.1.5468.4.1.6.1.1.1,column,,not-accessible,Index of RMEP.
ACTELIS-SERV-MON-MIB,fdFdvELAN1DayMEPID,1.3.6.1.4.1.5468.4.1.6.1.1.2,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
ACTELIS-SERV-MON-MIB,fdFdvELAN1DayPortID,1.3.6.1.4.1.5468.4.1.6.1.1.3,column,InterfaceIndex,read-only,An unique value of port interface on which MEP is reported. It is an index from IfTable for ETH-x or HSL-x ports. Multiple MEPs may be applied on the same port
