device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
dsl-modem,ML620R-MIB,dhcpPoolName,1.3.6.1.4.1.5468.510.2.5.5.1.2,column,string,,,,read-write,yes,no,dhcpPoolName,Description.
dsl-modem,ML620R-MIB,dhcpPoolIPAddress,1.3.6.1.4.1.5468.510.2.5.5.1.3,column,ipv4-address,,,,read-write,yes,no,dhcpPoolIPAddress,Description.
dsl-modem,ML620R-MIB,dhcpPooSubnetMask,1.3.6.1.4.1.5468.510.2.5.5.1.4,column,ipv4-address,,,,read-write,yes,no,dhcpPooSubnetMask,Description.
dsl-modem,ML620R-MIB,dhcpPoolLeaseTime,1.3.6.1.4.1.5468.510.2.5.5.1.5,column,integer,,,,read-write,yes,no,dhcpPoolLeaseTime,Description.
dsl-modem,ML620R-MIB,dhcpPoolDefaultRouter,1.3.6.1.4.1.5468.510.2.5.5.1.6,column,ipv4-address,,,,read-write,yes,no,dhcpPoolDefaultRouter,Description.
dsl-modem,ML620R-MIB,dnsServer1,1.3.6.1.4.1.5468.510.2.5.5.1.7,column,ipv4-address,,,,read-write,yes,no,dnsServer1,Description.
dsl-modem,ML620R-MIB,dnsServer2,1.3.6.1.4.1.5468.510.2.5.5.1.8,column,ipv4-address,,,,read-write,yes,no,dnsServer2,Description.
dsl-modem,ML620R-MIB,dhcpPoolActive,1.3.6.1.4.1.5468.510.2.5.5.1.9,column,enum,,,,read-write,yes,no,dhcpPoolActive,Description.
dsl-modem,ML620R-MIB,dhcpPoolStatus,1.3.6.1.4.1.5468.510.2.5.5.1.10,column,enum,,,,read-write,yes,no,dhcpPoolStatus,Description.
dsl-modem,ML620R-MIB,dhcpClientIndex,1.3.6.1.4.1.5468.510.2.5.6.1.1,column,integer,,,,read-only,no,no,dhcpClientIndex,Description.
dsl-modem,ML620R-MIB,dhcpClientName,1.3.6.1.4.1.5468.510.2.5.6.1.2,column,string,,,,read-only,no,no,dhcpClientName,Description.
dsl-modem,ML620R-MIB,dhcpMacAddress,1.3.6.1.4.1.5468.510.2.5.6.1.3,column,string,,,,read-only,no,no,dhcpMacAddress,Description.
dsl-modem,ML620R-MIB,dhcpIPAddress,1.3.6.1.4.1.5468.510.2.5.6.1.4,column,string,,,,read-only,no,no,dhcpIPAddress,Description.
dsl-modem,ML620R-MIB,dhcpLeaseTime,1.3.6.1.4.1.5468.510.2.5.6.1.5,column,string,,,,read-only,no,no,dhcpLeaseTime,Description.
dsl-modem,ML620R-MIB,wanIndex,1.3.6.1.4.1.5468.510.2.6.1.1.1,column,integer,,,,read-only,no,no,wanIndex,Description.
dsl-modem,ML620R-MIB,description,1.3.6.1.4.1.5468.510.2.6.1.1.2,column,string,,,,read-write,yes,no,description,Description.
dsl-modem,ML620R-MIB,vlanID,1.3.6.1.4.1.5468.510.2.6.1.1.3,column,integer,,,,read-write,yes,no,vlanID,Description.
dsl-modem,ML620R-MIB,defaultRoute,1.3.6.1.4.1.5468.510.2.6.1.1.4,column,enum,,,,read-write,yes,no,defaultRoute,Description.
dsl-modem,ML620R-MIB,nat,1.3.6.1.4.1.5468.510.2.6.1.1.5,column,enum,,,,read-write,yes,no,nat,Description.
dsl-modem,ML620R-MIB,protocol,1.3.6.1.4.1.5468.510.2.6.1.1.6,column,enum,,,,read-write,yes,no,protocol,Description.
dsl-modem,ML620R-MIB,action,1.3.6.1.4.1.5468.510.2.6.1.1.7,column,enum,,,,read-write,yes,no,action,Description.
dsl-modem,ML620R-MIB,wanStatus,1.3.6.1.4.1.5468.510.2.6.1.1.8,column,enum,,,,read-only,no,no,wanStatus,Description.
dsl-modem,ML620R-MIB,staticIPAddress,1.3.6.1.4.1.5468.510.2.6.2.1.1,column,ipv4-address,,,,read-write,yes,no,staticIPAddress,Description.
dsl-modem,ML620R-MIB,staticSubnetMask,1.3.6.1.4.1.5468.510.2.6.2.1.2,column,ipv4-address,,,,read-write,yes,no,staticSubnetMask,Description.
dsl-modem,ML620R-MIB,staticGateway,1.3.6.1.4.1.5468.510.2.6.2.1.3,column,ipv4-address,,,,read-write,yes,no,staticGateway,Description.
dsl-modem,ML620R-MIB,staticApply,1.3.6.1.4.1.5468.510.2.6.2.1.4,column,enum,,,,read-write,yes,no,staticApply,Description.
dsl-modem,ML620R-MIB,dhcpStatus,1.3.6.1.4.1.5468.510.2.6.3.1.1,column,enum,,,,read-only,no,no,dhcpStatus,Description.
dsl-modem,ML620R-MIB,userName,1.3.6.1.4.1.5468.510.2.6.4.1.1,column,string,,,,read-write,yes,no,userName,Description.
dsl-modem,ML620R-MIB,passWord,1.3.6.1.4.1.5468.510.2.6.4.1.2,column,string,,,,read-write,yes,no,passWord,Description.
dsl-modem,ML620R-MIB,confirm,1.3.6.1.4.1.5468.510.2.6.4.1.3,column,string,,,,read-write,yes,no,confirm,Description.
dsl-modem,ML620R-MIB,keepAlive,1.3.6.1.4.1.5468.510.2.6.4.1.4,column,enum,,,,read-write,yes,no,keepAlive,Description.
dsl-modem,ML620R-MIB,idleTimeout,1.3.6.1.4.1.5468.510.2.6.4.1.5,column,timeticks,,centiseconds,SMI type timeticks,read-write,yes,no,idleTimeout,Description.
dsl-modem,ML620R-MIB,pppoeApply,1.3.6.1.4.1.5468.510.2.6.4.1.6,column,enum,,,,read-write,yes,no,pppoeApply,Description.
dsl-modem,ML620R-MIB,aclIndex,1.3.6.1.4.1.5468.510.2.7.1.1.1,column,integer,,,,read-only,no,no,aclIndex,Description.
dsl-modem,ML620R-MIB,ingressPort,1.3.6.1.4.1.5468.510.2.7.1.1.2,column,enum,,,,read-write,yes,no,ingressPort,Description.
dsl-modem,ML620R-MIB,aclAction,1.3.6.1.4.1.5468.510.2.7.1.1.3,column,enum,,,,read-write,yes,no,aclAction,Description.
dsl-modem,ML620R-MIB,portRedirect,1.3.6.1.4.1.5468.510.2.7.1.1.4,column,enum,,,,read-write,yes,no,portRedirect,Description.
dsl-modem,ML620R-MIB,frameType,1.3.6.1.4.1.5468.510.2.7.1.1.5,column,enum,,,,read-write,yes,no,frameType,Description.
dsl-modem,ML620R-MIB,aclRemarkQueueID,1.3.6.1.4.1.5468.510.2.7.1.1.6,column,integer,,,,read-write,yes,no,aclRemarkQueueID,Description.
dsl-modem,ML620R-MIB,aclRemarkPriority,1.3.6.1.4.1.5468.510.2.7.1.1.7,column,integer,,,,read-write,yes,no,aclRemarkPriority,Description.
dsl-modem,ML620R-MIB,aclRemarkDscp,1.3.6.1.4.1.5468.510.2.7.1.1.8,column,integer,,,,read-write,yes,no,aclRemarkDscp,Description.
dsl-modem,ML620R-MIB,aclOption,1.3.6.1.4.1.5468.510.2.7.1.1.9,column,enum,,,,read-write,yes,no,aclOption,Description.
dsl-modem,ML620R-MIB,aclStatus,1.3.6.1.4.1.5468.510.2.7.1.1.10,column,enum,,,,read-only,no,no,aclStatus,Description.
dsl-modem,ML620R-MIB,dmacValue,1.3.6.1.4.1.5468.510.2.7.2.1.1,column,mac-address,PhysAddress,,,read-write,yes,no,dmacValue,Description.
dsl-modem,ML620R-MIB,dmacMask,1.3.6.1.4.1.5468.510.2.7.2.1.2,column,mac-address,PhysAddress,,,read-write,yes,no,dmacMask,Description.
dsl-modem,ML620R-MIB,smacValue,1.3.6.1.4.1.5468.510.2.7.2.1.3,column,mac-address,PhysAddress,,,read-write,yes,no,smacValue,Description.
dsl-modem,ML620R-MIB,smacMask,1.3.6.1.4.1.5468.510.2.7.2.1.4,column,mac-address,PhysAddress,,,read-write,yes,no,smacMask,Description.
dsl-modem,ML620R-MIB,etypeValue,1.3.6.1.4.1.5468.510.2.7.2.1.5,column,integer,,,,read-write,yes,no,etypeValue,Description.
dsl-modem,ML620R-MIB,etypeMask,1.3.6.1.4.1.5468.510.2.7.2.1.6,column,integer,,,,read-write,yes,no,etypeMask,Description.
dsl-modem,ML620R-MIB,taggedVlanId,1.3.6.1.4.1.5468.510.2.7.2.1.7,column,integer,,,,read-write,yes,no,taggedVlanId,Description.
dsl-modem,ML620R-MIB,taggedVlanMask,1.3.6.1.4.1.5468.510.2.7.2.1.8,column,integer,,,,read-write,yes,no,taggedVlanMask,Description.
dsl-modem,ML620R-MIB,tagPriority,1.3.6.1.4.1.5468.510.2.7.2.1.9,column,integer,,,,read-write,yes,no,tagPriority,Description.
dsl-modem,ML620R-MIB,tagPriorityMask,1.3.6.1.4.1.5468.510.2.7.2.1.10,column,integer,,,,read-write,yes,no,tagPriorityMask,Description.
dsl-modem,ML620R-MIB,etypeApply,1.3.6.1.4.1.5468.510.2.7.2.1.11,column,enum,,,,read-write,yes,no,etypeApply,Description.
dsl-modem,ML620R-MIB,dipFilterAddress,1.3.6.1.4.1.5468.510.2.7.3.1.1,column,ipv4-address,,,,read-write,yes,no,dipFilterAddress,Description.
dsl-modem,ML620R-MIB,dipFilterMask,1.3.6.1.4.1.5468.510.2.7.3.1.2,column,ipv4-address,,,,read-write,yes,no,dipFilterMask,Description.
dsl-modem,ML620R-MIB,sipFilterAddress,1.3.6.1.4.1.5468.510.2.7.3.1.3,column,ipv4-address,,,,read-write,yes,no,sipFilterAddress,Description.
dsl-modem,ML620R-MIB,sipFilterMask,1.3.6.1.4.1.5468.510.2.7.3.1.4,column,ipv4-address,,,,read-write,yes,no,sipFilterMask,Description.
dsl-modem,ML620R-MIB,dportLow,1.3.6.1.4.1.5468.510.2.7.3.1.5,column,integer,,,,read-write,yes,no,dportLow,Description.
dsl-modem,ML620R-MIB,dportHigh,1.3.6.1.4.1.5468.510.2.7.3.1.6,column,integer,,,,read-write,yes,no,dportHigh,Description.
dsl-modem,ML620R-MIB,sportLow,1.3.6.1.4.1.5468.510.2.7.3.1.7,column,integer,,,,read-write,yes,no,sportLow,Description.
dsl-modem,ML620R-MIB,sportHigh,1.3.6.1.4.1.5468.510.2.7.3.1.8,column,integer,,,,read-write,yes,no,sportHigh,Description.
dsl-modem,ML620R-MIB,tosDscpValue,1.3.6.1.4.1.5468.510.2.7.3.1.9,column,integer,,,,read-write,yes,no,tosDscpValue,Description.
dsl-modem,ML620R-MIB,tosDscpMask,1.3.6.1.4.1.5468.510.2.7.3.1.10,column,integer,,,,read-write,yes,no,tosDscpMask,Description.
dsl-modem,ML620R-MIB,ipv4Apply,1.3.6.1.4.1.5468.510.2.7.3.1.11,column,enum,,,,read-write,yes,no,ipv4Apply,Description.
dsl-modem,ML620R-MIB,qosIngressPort,1.3.6.1.4.1.5468.510.2.8.1.1.1.1,column,enum,,,,read-only,no,no,qosIngressPort,Description.
dsl-modem,ML620R-MIB,portDefaultPriority,1.3.6.1.4.1.5468.510.2.8.1.1.1.2,column,integer,,,,read-write,yes,no,portDefaultPriority,Description.
dsl-modem,ML620R-MIB,tagClassificationEnable,1.3.6.1.4.1.5468.510.2.8.2.1,scalar,enum,,,,read-write,yes,no,tagClassificationEnable,Description.
